ts_ms,trade_id,side,size,px,lhs_ccy,rhs_ccy
1682913429250.0,340,S,10000.0,0.80525,LMDA,USD
1683049611575.0,2848,B,6000.0,0.7968999999999999,LMDA,USD
1683067134950.0,3142,S,6000.0,0.80179,LMDA,USD
1682909222825.0,267,B,4000.0,0.802085,LMDA,USD
1682954519575.0,1105,S,7000.0,0.79781,LMDA,USD
1683050306425.0,2858,S,8000.0,0.79638,LMDA,USD
1683021703550.0,2371,B,8000.0,0.794095,LMDA,USD
1682937582875.0,762,B,2000.0,0.802525,LMDA,USD
1683006116150.0,2104,B,5000.0,0.7983750000000001,LMDA,USD
1682911197850.0,302,B,10000.0,0.8032400000000001,LMDA,USD
1683065492275.0,3118,B,6000.0,0.801105,LMDA,USD
1683054526050.0,2918,B,8000.0,0.797495,LMDA,USD
1682929061550.0,638,S,9000.0,0.805575,LMDA,USD
1683042129050.0,2723,S,7000.0,0.795355,LMDA,USD
1682897876675.0,29,B,9000.0,0.800225,LMDA,USD
1683009152075.0,2151,B,3000.0,0.7977099999999999,LMDA,USD
1683046774950.0,2811,S,9000.0,0.79827,LMDA,USD
1682943159925.0,872,S,7000.0,0.802615,LMDA,USD
1682984253275.0,1693,S,7000.0,0.7972049999999999,LMDA,USD
1683030220975.0,2511,S,9000.0,0.797235,LMDA,USD
1682947462050.0,940,S,5000.0,0.803295,LMDA,USD
1682933425575.0,692,S,3000.0,0.803515,LMDA,USD
1683025435750.0,2429,B,2000.0,0.794135,LMDA,USD
1683048864925.0,2831,S,9000.0,0.79865,LMDA,USD
1683026884775.0,2453,S,9000.0,0.794705,LMDA,USD
1682982461750.0,1661,S,1000.0,0.795475,LMDA,USD
1682927745825.0,606,B,2000.0,0.807135,LMDA,USD
1682952887650.0,1067,S,9000.0,0.79961,LMDA,USD
1682910987975.0,296,B,10000.0,0.80269,LMDA,USD
1682968242350.0,1353,B,9000.0,0.791145,LMDA,USD
1682944580225.0,886,B,4000.0,0.803925,LMDA,USD
1682902807925.0,146,S,3000.0,0.797745,LMDA,USD
